feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance,kta,svm_accuracy
zz,rotation_only,10,1,circular,2,noiseless,0.05735363511904183,0.7248149429612052,0.014612705615689947,0.18323917048649144,0.4
zz,rotation_only,10,8,linear,0,noiseless,0.027288519626075924,0.6899865980588504,0.023665976594999413,0.1854977662497757,0.4
zz,rotation_only,10,8,linear,1,noiseless,0.08846926296649268,0.6885292929473243,0.0365782085428768,0.1854977662497757,0.4
zz,rotation_only,10,8,linear,2,noiseless,0.12723505158613285,0.6707588260221528,0.0024878987991265645,0.1854977662497757,0.4
zz,rotation_only,10,8,circular,0,noiseless,0.027288519626075924,0.7689032502897046,0.022812175956591116,0.18372700460615582,0.4
zz,rotation_only,10,8,circular,1,noiseless,0.05735363511904183,0.7612330308989719,0.16075514060248375,0.18372700460615582,0.4
zz,rotation_only,10,8,circular,2,noiseless,8.740648201398857e-10,0.7577546409069551,0.003076589610444039,0.18372700460615582,0.4
zz,real_amplitudes,4,1,linear,0,noiseless,0.06712708140521696,0.5944321321247716,0.06561938903656074,0.20020357316505172,0.4
zz,real_amplitudes,4,1,linear,1,noiseless,0.1037028534785211,0.5998136164134654,0.1300857120153164,0.20020357316505172,0.4
zz,real_amplitudes,4,1,linear,2,noiseless,0.06924147259721905,0.6053654763884098,0.06744542881753271,0.20020357316505172,0.4
zz,real_amplitudes,4,1,circular,0,noiseless,0.05764661414110803,0.7148930876138212,0.0162449565864479,0.195818474874962,0.4
zz,real_amplitudes,4,1,circular,1,noiseless,0.04719935984257767,0.7119189757220405,0.053700817345580146,0.195818474874962,0.4
zz,real_amplitudes,4,1,circular,2,noiseless,0.07033654523779222,0.7229709836607201,0.04746975153765381,0.195818474874962,0.4
zz,real_amplitudes,4,8,linear,0,noiseless,0.12194015017254817,0.5424908030892577,0.02732686781912149,0.22341684009863036,0.4
zz,real_amplitudes,4,8,linear,1,noiseless,0.08530189893965846,0.5608620696841294,0.03397080297306582,0.22341684009863036,0.4
zz,real_amplitudes,4,8,linear,2,noiseless,0.06966104344747122,0.5432307817909483,0.018908984949094532,0.22341684009863036,0.4
zz,real_amplitudes,4,8,circular,0,noiseless,0.06013526818253211,0.6803740956932961,0.03658604501742786,0.19945813617857117,0.4
zz,real_amplitudes,4,8,circular,1,noiseless,0.06395585423237066,0.6599663100360673,0.026318409027856905,0.19945813617857117,0.4
zz,real_amplitudes,4,8,circular,2,noiseless,0.06709894173651687,0.6641151711138272,0.040136390085180905,0.19945813617857117,0.4
zz,real_amplitudes,10,1,linear,0,noiseless,0.05735363511904183,0.6675810516120031,0.07125221232665387,0.18327547169787542,0.4
zz,real_amplitudes,10,1,linear,1,noiseless,8.740648201398857e-10,0.6723186349494558,0.13362456201701967,0.18327547169787542,0.4
zz,real_amplitudes,10,1,linear,2,noiseless,0.09716592002621112,0.6740164220291649,0.07022603809325446,0.18327547169787542,0.4
zz,real_amplitudes,10,1,circular,0,noiseless,0.05735363511904183,0.713858551405094,0.023945113594842214,0.18323917048649144,0.4
zz,real_amplitudes,10,1,circular,1,noiseless,8.740648201398857e-10,0.7189991066368836,0.06827472366059033,0.18323917048649144,0.4
zz,real_amplitudes,10,1,circular,2,noiseless,0.05735363511904183,0.7248149429612052,0.062190666434860195,0.18323917048649144,0.4
zz,real_amplitudes,10,8,linear,0,noiseless,0.027288519626075924,0.6899865980588504,0.003340795386060401,0.1854977662497757,0.4
zz,real_amplitudes,10,8,linear,1,noiseless,0.08846926296649268,0.6885292929473243,0.011124400201059648,0.1854977662497757,0.4
